名前,説明文１,説明文２,虫の付きやすさ,虫の付きにくさ,売値
マソハーブの種,魔素の力で虫がつかず成長も早い,初心者でも簡単に育てられる,0,10,300
タネポポの種,受粉なしで種ができる不思議な花,うわさではコウノトリが運んでくる,5,0,1000
ベランダーの種,日当たりのいい場所で咲く花の種,花言葉は「選択」,10,0,3500
パンダジーの種,パンダのようなかわいい花が咲く,小さな女の子に大人気,15,0,20000
バララバの種,繊細で花に触れると花弁が崩れる,崩れるの香りが人気で香水に使われる,50,0,50000
シュガーステムの種,茎部分が甘くお茶に入れるとおいしい,ストローの代わりにもなる,30,0,60000
コスモの種,月のほうを向いた星型の花が咲く,３輪集めると願いが叶うらしい,40,0,100000
マソマソの種,大きな魔力を含む魔法の種,周りの花にも虫がつかなくなる,0,30,2000
ランポポの種,なんだか見てると元気になれる花,いつもより種が多く取れる,15,0,10000
バラバラの種,風が吹くだけで花弁がなくなる種,花びらはとても希少で高値で取引される,70,0,80000
シュガーパンの種,甘いパンが咲く不思議な種,日光のおかげで焼き立てのような味わい,40,0,60000
フラウの花束,フラウの交配による最高傑作,一粒で美しい花束が咲く種,75,0,250000
マジックプランター,魔法の力で植物の成長速度が早い,小さな地球を再現しているらしい,,,
バグフィックス,虫の付きやすさを下げるアイテム,不思議な形をしている,,10,
植物魔法学の本,魔力を含む種の作り方が書いてある,マソハーブの種＋マソハーブの種,,,
人生の楽しみ方,人生の楽しみ方がつづられている,タネポポの種＋ベランダーの種,,,
芸術とは,美しさを延々と語っている本,バララバの種＋バララバの種,,,
おいしいパンの焼き方,おいしいパンの焼き方が乗っている,シュガーステムの種＋パンダジーの種,,,
素朴な本,なんの変哲もない本,コスモの種＋コスモの種＋コスモの種,,,
