キャラ名,シナリオ１段落,シナリオ２段落,シナリオ３段落,表情＿左,表情＿右,画面エフェクト,効果音
,「カランカラン」,,,,,,
クリスタ,フラウ、今日が返済の最終日だがどうだい？,,,クリスタ＿ふつう,,,
フラウ,、、、あっ、シンディさん,,,クリスタ＿ふつう,フラウ＿こまる,,
クリスタ,あー、その調子だともしかして、、、,,,クリスタ＿こまる,フラウ＿こまる,,
フラウ,ごべんなざい、おがね集まんながっだです,,,クリスタ＿こまる,フラウ＿こまる,,
クリスタ,お金はいいんだけど、そのー,呪いのほうはどうにもならないかも,,クリスタ＿こまる,フラウ＿こまる,,
フラウ,えー！！じゃあ私もしかして一生タンスに,小指をぶつける人生ですか！？,,クリスタ＿こまる,フラウ＿びっくり,,
フラウ,そんなぁ、アイタッ！,ふぇ～タンスが追いかけてくるよ～,,クリスタ＿こまる,フラウ＿こまる,,
フラウ,アイタッ！アイタッ！地味に痛いよ～,,,クリスタ＿こまる,フラウ＿こまる,,
クリスタ,私の友達に解呪の魔法に詳しい魔女がいるから紹介するよ,今回稼いだお金はその解呪費用に使うといいよ,,クリスタ＿こまる,フラウ＿こまる,,
フラウ,もしかしてそれまで私このままですか？,,,クリスタ＿こまる,フラウ＿こまる,,
クリスタ,まー頑張りな,,,クリスタ＿ふつう,フラウ＿こまる,,
フラウ,わーん,,,クリスタ＿ふつう,フラウ＿こまる,,
,フラウは一所懸命に頑張りましたが残念ながら,100万ラウをためることができませんでした,,クリスタ＿ふつう,フラウ＿こまる,,
,そしてそこから解呪までの一週間ほどフラウは花屋を,いとなみながら小指の痛みと戦うのでした,,クリスタ＿ふつう,フラウ＿こまる,,
,お　わ　り　（バッドエンド　タンスの呪い）,,,クリスタ＿ふつう,フラウ＿こまる,,
