キャラ名,シナリオ１段落,シナリオ２段落,シナリオ３段落,表情＿左,表情＿右,画面エフェクト,効果音
？？？,いらっしゃいませ、、、,,,ハンディ＿ふつう,フラウ＿ふつう,,
フラウ,家の近くお店だったけど一人で来るのは初めてだな,,,ハンディ＿ふつう,フラウ＿ふつう,,
フラウ,よく見たら変なものばっかりおいてる、あはは！,,,ハンディ＿ふつう,フラウ＿えがお,,
？？？,これは変なものじゃない、、、ねこだるま。あと、売り物でもない,,,ハンディ＿こまる,フラウ＿えがお,,
ハンディ,わたしはハンディ、、ここの店主,,,ハンディ＿ふつう,フラウ＿えがお,,
ハンディ,ところで何をお探しで？、、、おじょうさん？,,,ハンディ＿びっくり,フラウ＿えがお,,
フラウ,私はフラウだよ、近くで花屋をやってるんだけど,花の種が足りなくて困ってるの,,ハンディ＿びっくり,フラウ＿ふつう,,
ハンディ,種なら結構ある、、うちは品ぞろえはいいほう,,,ハンディ＿びっくり,フラウ＿ふつう,,
フラウ,わあ、すごいね！いっぱい種類があるんだ！,,,ハンディ＿びっくり,フラウ＿えがお,,
ハンディ,、、、いっぱい買ってって,,,ハンディ＿えがお,フラウ＿えがお,,
