キャラ名,シナリオ１段落,シナリオ２段落,シナリオ３段落,表情＿左,表情＿右,画面エフェクト,効果音
,「カランカラン」,,,,,,
クリスタ,フラウ、お店の調子はどうだいって、、、,,,クリスタ＿びっくり,フラウ＿こまる,,
フラウ,すみません！クリスタさん！,ちょっとお店が忙しすぎで手が離せそうにないです！,,クリスタ＿びっくり,フラウ＿こまる,,
クリスタ,どうやらそのようだね、ちょっと繁盛しすぎじゃないかな？,,,クリスタ＿びっくり,フラウ＿こまる,,
フラウ,プランターのお金は今度持っていくので,ちょっと手伝ってください,,クリスタ＿びっくり,フラウ＿こまる,,
クリスタ,ごめんね、人混みは苦手なんだ,,,クリスタ＿ふつう,フラウ＿こまる,,
クリスタ,でもよかったじゃないか、こんなに繁盛して,,,クリスタ＿ふつう,フラウ＿こまる,,
フラウ,そんな、他人事みたいに言わないでください,,,クリスタ＿ふつう,フラウ＿こまる,,
フラウ,忙しすぎてプランターの数も足りないですよ,,,クリスタ＿ふつう,フラウ＿こまる,,
クリスタ,そういえばプランターのお金はいらないよ,,,クリスタ＿ふつう,フラウ＿こまる,,
クリスタ,あれは植物の成長を促す代わりに,人の成長度合いが低いと呪いをかける代物だったんだ,,クリスタ＿ふつう,フラウ＿こまる,,
クリスタ,だから稼いだお金は好きに使いな,,,クリスタ＿ふつう,フラウ＿こまる,,
フラウ,そんな！いいんですか！,,,クリスタ＿えがお,フラウ＿びっくり,,
クリスタ,アハハ、友達の孫からお金は取れないよ,,,クリスタ＿えがお,フラウ＿ふつう,,
フラウ,じゃあ今度ゆっくりお茶にでも行きましょう,,,クリスタ＿えがお,フラウ＿ふつう,,
フラウ,おばあちゃんも一緒に連れていきます,,,クリスタ＿えがお,フラウ＿ふつう,,
フラウ,もちろん、私のおごりで!,,,クリスタ＿えがお,フラウ＿えがお,,
,フラウの頑張りでお店は大人気になり、今では,そこで花束を買った人は幸せになるといわれています,,クリスタ＿えがお,フラウ＿えがお,,
,お　わ　り　（ハッピーエンド　フラウの花束）,,,クリスタ＿えがお,フラウ＿えがお,,
