キャラ名,シナリオ１段落,シナリオ２段落,シナリオ３段落,表情＿左,表情＿右,画面エフェクト,効果音
,カランカラン,,,,,,
クリスタ,フラウ、調子はどうだい？様子を見に来たよ,,,クリスタ＿ふつう,フラウ＿ふつう,,
フラウ,クリスタさん、いらっしゃいませー,,,クリスタ＿ふつう,フラウ＿ふつう,,
フラウ,うーん（この前ハンディが言ってたことってホントなのかな）,（思い切って聞いちゃおうかな）,,クリスタ＿ふつう,フラウ＿ふつう,,
クリスタ,どうしたんだいフラウ？頭なんかひねって,,,クリスタ＿こまる,フラウ＿ふつう,,
フラウ,あ、あの！クリスタさんっておいくつなんですか？,,,クリスタ＿こまる,フラウ＿えがお,,
クリスタ,永遠の１７才だよ,,,クリスタ＿えがお,フラウ＿えがお,,
フラウ,えっと冗談じゃなくって,,,クリスタ＿えがお,フラウ＿ふつう,,
クリスタ,永遠の１７才だよ,,,クリスタ＿えがお,フラウ＿ふつう,,
フラウ,あ、あの,,,クリスタ＿えがお,フラウ＿こまる,,
クリスタ,フラウ、わたしは永遠の１７才だよ。魔女は年を取らないんだ,,,クリスタ＿ふつう,フラウ＿こまる,,
フラウ,ご、ごめんなさい（聞かなきゃよかったよう）,,,クリスタ＿えがお,フラウ＿こまる,,
