キャラ名,シナリオ１段落,シナリオ２段落,シナリオ３段落,表情＿左,表情＿右,画面エフェクト,効果音
,カランカラン,,,,,,
フラウ,いらっしゃいませ,,,,フラウ＿ふつう,,
ハンディ,、、、こんにちは,,,ハンディ＿ふつう,フラウ＿ふつう,,
フラウ,ハンディ！いらっしゃい、来てくれて嬉しいよ,それで、今日は何のようじ？,,ハンディ＿ふつう,フラウ＿えがお,,
ハンディ,、、あそびにきた、この町、年の近い女の子少ない,,,ハンディ＿えがお,フラウ＿えがお,,
フラウ,あれ？でもお隣はクリスタさんがいたはずじゃ？,,,ハンディ＿えがお,フラウ＿ふつう,,
ハンディ,あの人は私のおばあちゃんより年上,,,ハンディ＿ふつう,フラウ＿ふつう,,
フラウ,えー！クリスタさんって何歳なの！？,,,ハンディ＿ふつう,フラウ＿びっくり,,
ハンディ,それは、、言えない、、,,,ハンディ＿こまる,フラウ＿びっくり,,
フラウ,どうして？,,,ハンディ＿こまる,フラウ＿びっくり,,
ハンディ,、、この前言ったら、おなかいたくなった,たぶん、、まじょの呪い,,ハンディ＿こまる,フラウ＿びっくり,,
フラウ,（たしかにあの人ならやりかねないかも）,,,ハンディ＿こまる,フラウ＿ふつう,,
